Job titiles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Loan Originator,25%,292,1940,0.15051546391752577,Leadership & Strategy
Procurement Administrator,25%,577,1652,0.349273607748184,Medical & Healthcare
Senior Credit Analyst,25%,571,1601,0.3566520924422236,Supply Chain & Logistics
Treasurer,25%,417,1271,0.3280881195908733,Law Enforcement
Trust Officer,25%,426,1258,0.3386327503974563,Construction
Cancer Registrar,25%,179,1323,0.13529856386999245,Sales & Marketing
Clinical Liaison,25%,221,1520,0.14539473684210527,Hospitality
Pattern Maker,25%,194,1674,0.11589008363201912,Communication & PR
Product Design Engineer,25%,260,1939,0.13408973697782361,Data & IT
Stock Clerk,25%,151,1036,0.14575289575289574,Administrative & Clerical
Center Manager,25%,209,1542,0.13553826199740596,Leadership & Strategy
Transportation Supervisor,25%,179,1419,0.12614517265680056,Medical & Healthcare
Warehouse Assistant,25%,167,1187,0.14069081718618365,Supply Chain & Logistics
DBA,25%,172,1322,0.13010590015128592,Law Enforcement
Chief Development Officer,25%,180,1347,0.133630289532294,Construction
Business Director,25%,186,1358,0.13696612665684832,Sales & Marketing
Dermatology Nurse Practitioner,25%,137,1167,0.11739502999143102,Hospitality
Budtender,25%,122,980,0.12448979591836734,Communication & PR
Manufacturing Manager,25%,194,1364,0.14222873900293256,Data & IT
Kitchen Designer,25%,219,1889,0.11593435680254102,Administrative & Clerical
Chief Nursing Officer,25%,174,1334,0.13043478260869565,Leadership & Strategy
Director Of Radiology,25%,152,1122,0.1354723707664884,Medical & Healthcare
Health Unit Coordinator,25%,197,1531,0.1286740692357936,Supply Chain & Logistics
Hospital Director,25%,164,1291,0.12703330751355538,Law Enforcement
Social Work Case Manager,25%,199,1530,0.1300653594771242,Construction
Information Officer,25%,208,1454,0.14305364511691884,Sales & Marketing
Interaction Designer,25%,271,2044,0.13258317025440314,Hospitality
Corporate Recruiter,25%,222,1472,0.15081521739130435,Communication & PR
Assistant Front Office Manager,25%,213,1552,0.13724226804123713,Data & IT
Facilities Director,25%,171,1283,0.1332813717848792,Administrative & Clerical
Operations Team Leader,25%,193,1460,0.13219178082191782,Leadership & Strategy
Transportation Planner,25%,188,1413,0.13305024769992924,Medical & Healthcare
Screen Printer,25%,197,1708,0.11533957845433256,Supply Chain & Logistics
Warehouse Coordinator,25%,177,1198,0.14774624373956594,Law Enforcement
District Manager,25%,198,1529,0.12949640287769784,Construction
Economic Analyst,25%,206,1401,0.1470378301213419,Sales & Marketing
Employee Relations Manager,25%,212,1356,0.15634218289085547,Hospitality
Field Manager,25%,220,1459,0.15078821110349555,Communication & PR
Field Sales Manager,25%,222,1454,0.15268225584594222,Data & IT
Food Service Manager,25%,222,1505,0.14750830564784054,Administrative & Clerical
Franchise Manager,25%,229,1480,0.15472972972972973,Leadership & Strategy
General Manager,25%,231,1484,0.15566037735849056,Medical & Healthcare
Human Resources Manager,25%,297,1994,0.1489468405215647,Supply Chain & Logistics
Key Account Manager,25%,310,2020,0.15346534653465346,Law Enforcement
Labor Relations Manager,25%,237,1714,0.1382730455075846,Construction
Learning And Development Manager,25%,312,2046,0.15249266862170088,Sales & Marketing
National Account Manager,25%,194,1208,0.1605960264900662,Hospitality
Operations Manager,25%,232,1461,0.15879534565366188,Communication & PR
Policy Analyst,25%,240,2019,0.1188707280832095,Data & IT
Press Secretary,25%,241,1950,0.12358974358974359,Administrative & Clerical
Program Manager,24%,276,2003,0.13779331003494757,Leadership & Strategy
Public Relations Manager,24%,291,2380,0.1222689075630252,Medical & Healthcare
Real Estate Manager,24%,272,2354,0.11554800339847068,Supply Chain & Logistics
Regional Operations Manager,24%,254,1877,0.13532232285562068,Law Enforcement
Regional Sales Director,24%,270,1942,0.13903192584963955,Construction
Regulatory Affairs Manager,24%,259,1843,0.14053174172544763,Sales & Marketing
Sales Manager,23%,293,1997,0.14672008012018026,Hospitality
Senior Operations Manager,23%,260,1861,0.13970983342289092,Communication & PR
Tour Manager,22%,192,1442,0.13314840499306518,Data & IT
Unit Manager,22%,182,1386,0.13131313131313133,Administrative & Clerical
Validation Manager,22%,174,1326,0.13122171945701358,Leadership & Strategy
Vice President Of Sales,22%,202,1458,0.13854595336076816,Medical & Healthcare
Car Dealer,22%,5,20,0.25,Supply Chain & Logistics
Distribution Supervisor,22%,8,57,0.14035087719298245,Law Enforcement
Jewelry Consultant,22%,155,1189,0.13036164844407064,Construction
Licensed Customs Broker,22%,167,1252,0.13338658146964857,Sales & Marketing
Sales Coach,22%,285,1996,0.14278557114228457,Hospitality
Sales Director,22%,296,2158,0.1371640407784986,Communication & PR
Sales Supervisor,22%,295,2169,0.13600737667127707,Data & IT
Technical Sales,22%,382,2377,0.16070677324358434,Administrative & Clerical
Technical Sales Representative,22%,198,1424,0.13904494382022473,Leadership & Strategy
Technology Sales,22%,197,1447,0.13614374568071874,Medical & Healthcare
Territory Sales Representative,22%,188,1395,0.13476702508960572,Supply Chain & Logistics
Wine Sales Representative,22%,171,1321,0.12944738834216502,Law Enforcement
Nurse Extern,21%,133,771,0.17250324254215305,Construction
Private Duty Nurse,21%,114,1168,0.0976027397260274,Sales & Marketing
Student Nurse,21%,81,378,0.21428571428571427,Hospitality
Category Manager,21%,6,46,0.13043478260869565,Communication & PR
Implementation Manager,20%,291,1948,0.14938398357289528,Data & IT
Linguist,20%,179,1299,0.13779830638953042,Administrative & Clerical
Safety Technician,20%,130,1135,0.1145374449339207,Leadership & Strategy
Trainee,20%,180,1399,0.12866333095067906,Medical & Healthcare
Chief Engineer,20%,6,46,0.13043478260869565,Supply Chain & Logistics
Cisco Voice Engineer,20%,6,46,0.13043478260869565,Law Enforcement
City Engineer,20%,6,46,0.13043478260869565,Construction
Civil Project Engineer,20%,6,46,0.13043478260869565,Sales & Marketing
Civil Structural Engineer,20%,6,46,0.13043478260869565,Hospitality
Construction Engineer,20%,6,42,0.14285714285714285,Communication & PR
Corrosion Engineer,20%,5,40,0.125,Data & IT
Distribution Center Supervisor,20%,9,60,0.15,Administrative & Clerical
Electrical Engineering,20%,163,1181,0.1380186282811177,Leadership & Strategy
Engineering Consultant,20%,184,1269,0.1449960598896769,Medical & Healthcare
Engineering Program Manager,20%,194,1364,0.14222873900293256,Supply Chain & Logistics
Entry Level Mechanical Engineer,20%,156,1138,0.13708260105448156,Law Enforcement
Fire Protection Engineer,20%,141,1086,0.1298342541436464,Construction
Geotechnical Engineer,20%,156,1150,0.1356521739130435,Sales & Marketing
Highway Engineer,20%,147,1005,0.14626865671641792,Hospitality
Industrial Designer,20%,179,1583,0.11307643714466203,Communication & PR
Junior Mechanical Engineer,20%,153,1112,0.13758992805755396,Data & IT
Lead Mechanical Engineer,20%,149,997,0.14944834503510532,Administrative & Clerical
Warehouse Clerk,20%,169,1156,0.14619377162629757,Leadership & Strategy
Warehouse Driver,20%,158,1088,0.14522058823529413,Medical & Healthcare
Warranty Manager,20%,192,1451,0.13232253618194348,Supply Chain & Logistics
Yard Laborer,20%,159,1105,0.14389140271493212,Law Enforcement
Yard Manager,20%,180,1227,0.1466992665036675,Construction
Yard Supervisor,20%,171,1186,0.14418212478920742,Sales & Marketing
Career Coach,20%,10,60,0.16666666666666666,Hospitality
Change Management Consultant,20%,8,54,0.14814814814814814,Communication & PR
Employment Consultant,20%,216,1431,0.1509433962264151,Data & IT
Franchise Consultant,20%,217,1454,0.14924346629986246,Administrative & Clerical
Independent Consultant,20%,294,1860,0.15806451612903225,Leadership & Strategy
Recruitment Consultant,20%,288,2310,0.12467532467532468,Medical & Healthcare
Small Business Consultant,20%,260,2020,0.12871287128712872,Supply Chain & Logistics
Call Center Manager,20%,10,60,0.16666666666666666,Law Enforcement
Call Center Supervisor,20%,10,60,0.16666666666666666,Construction
Contact Center Manager,20%,10,60,0.16666666666666666,Sales & Marketing
Customer Experience Manager,20%,10,60,0.16666666666666666,Hospitality
Customer Service Consultant,20%,10,60,0.16666666666666666,Communication & PR
Customer Service Director,20%,10,60,0.16666666666666666,Data & IT
Customer Service Trainer,20%,10,60,0.16666666666666666,Administrative & Clerical
Customer Success Manager,20%,10,60,0.16666666666666666,Leadership & Strategy
Customer Support Specialist,20%,10,60,0.16666666666666666,Medical & Healthcare
Communications Specialist,20%,9,57,0.15789473684210525,Supply Chain & Logistics
Content Creator,20%,11,65,0.16923076923076924,Law Enforcement
Event Specialist,20%,306,1793,0.17066369213608476,Construction
Graphic Designer,20%,372,2526,0.14726840855106887,Sales & Marketing
Marketing Administrator,20%,488,3153,0.1547732318426895,Hospitality
Marketing Assistant,20%,488,3153,0.1547732318426895,Communication & PR
Marketing Coordinator,20%,492,3169,0.15525402335121488,Data & IT
Marketing Officer,20%,496,3180,0.1559748427672956,Administrative & Clerical
Marketing Specialist,20%,281,2181,0.12883998165978908,Leadership & Strategy
Package Designer,20%,205,1483,0.13823331085637222,Medical & Healthcare
Promotions Coordinator,20%,261,2125,0.1228235294117647,Supply Chain & Logistics
Retail Marketing Manager,20%,280,2109,0.1327643432906591,Law Enforcement
Social Media Assistant,20%,392,2696,0.14540059347181009,Construction
Social Media Coordinator,20%,402,2716,0.1480117820324006,Sales & Marketing
Product Assistant,20%,221,1866,0.11843515541264737,Hospitality
Product Specialist,20%,261,2095,0.12458233890214797,Communication & PR
Project Specialist,20%,244,1720,0.14186046511627906,Data & IT
Dairy Manager,20%,6,46,0.13043478260869565,Administrative & Clerical
Grocery Clerk,20%,141,1033,0.13649564375605033,Leadership & Strategy
Merchandising Manager,20%,179,1144,0.15646853146853146,Medical & Healthcare
Produce Clerk,20%,104,669,0.1554559043348281,Supply Chain & Logistics
Retail Assistant,20%,220,1135,0.19383259911894274,Law Enforcement
Retail Associate,20%,221,1178,0.18760611205432937,Construction
Retail Clerk,20%,221,1139,0.19402985074626866,Sales & Marketing
Retail Operations Manager,20%,260,1896,0.1371308016877637,Hospitality
Retail Supervisor,20%,241,1727,0.13954834973943253,Communication & PR
Sales Assistant,20%,266,1721,0.1545613015688553,Data & IT
Store Assistant,20%,210,1097,0.19143117593436645,Administrative & Clerical
Store Associate,20%,208,1094,0.19012797074954296,Leadership & Strategy
Store Clerk,20%,208,1094,0.19012797074954296,Medical & Healthcare
Store Supervisor,20%,221,1317,0.16780561883067577,Supply Chain & Logistics
Vendor Manager,20%,209,1480,0.14121621621621622,Law Enforcement
Construction Apprentice,20%,5,40,0.125,Construction
Construction Laborer,20%,5,40,0.125,Sales & Marketing
Construction Project Coordinator,20%,6,46,0.13043478260869565,Hospitality
Construction Project Manager,20%,6,46,0.13043478260869565,Communication & PR
Construction Worker,20%,5,40,0.125,Data & IT
Drywall Finisher,20%,39,433,0.09006928406466513,Administrative & Clerical
Field Operator,20%,114,887,0.12852311161217586,Leadership & Strategy
Framer,20%,41,439,0.09339407744874716,Medical & Healthcare
Installation Technician,20%,163,987,0.1651469098277609,Supply Chain & Logistics
Lineman,20%,100,612,0.16339869281045752,Law Enforcement
Lineman Apprentice,20%,98,609,0.16091954022988506,Construction
Pipe Welder,20%,102,1051,0.09705042816365367,Sales & Marketing
Plant Worker,20%,109,1164,0.0936426116838488,Hospitality
Claim Adjuster,20%,7,46,0.15217391304347827,Communication & PR
Claims Assistant,20%,7,46,0.15217391304347827,Data & IT
Claims Processor,20%,7,46,0.15217391304347827,Administrative & Clerical
Health Insurance Agent,20%,256,1544,0.16580310880829016,Leadership & Strategy
Health Insurance Specialist,20%,269,1663,0.16175586289837643,Medical & Healthcare
Insurance Agent,20%,211,1490,0.14161073825503356,Supply Chain & Logistics
Insurance Assistant,20%,207,1473,0.14052953156822812,Law Enforcement
Neurodiagnostic Technologist,20%,147,969,0.15170278637770898,Construction
Nuclear Pharmacist,20%,143,939,0.15228966986155484,Sales & Marketing
Nutritionist,20%,147,980,0.15,Hospitality
Occupational Therapy Aide,20%,146,957,0.15256008359456635,Communication & PR
Occupational Therapy Assistant,20%,152,992,0.1532258064516129,Data & IT
Oncology Pharmacist,20%,150,946,0.15856236786469344,Administrative & Clerical
Ophthalmic Assistant,20%,165,961,0.1716961498439126,Leadership & Strategy
Ophthalmic Technician,20%,171,1364,0.125366568914956,Medical & Healthcare
Optometric Assistant,20%,160,955,0.16753926701570682,Supply Chain & Logistics
Optometrist Assistant,20%,146,898,0.16258351893095768,Law Enforcement
Orderly,20%,103,731,0.1409028727770178,Construction
Pacu Rn,20%,146,893,0.16349384098544234,Sales & Marketing
Paramedic,20%,109,714,0.15266106442577032,Hospitality
Patient Care Manager,20%,183,1082,0.16913123844731978,Communication & PR
Patient Care Technician,20%,177,1150,0.15391304347826087,Data & IT
Patient Navigator,20%,195,1133,0.17210944395410416,Administrative & Clerical
Patient Sitter,20%,97,648,0.14969135802469136,Leadership & Strategy
Patient Transport,20%,128,819,0.1562881562881563,Medical & Healthcare
Patient Transporter,20%,129,819,0.1575091575091575,Supply Chain & Logistics
Pediatric Physician Assistant,20%,154,922,0.16702819956616052,Law Enforcement
Personal Care Attendant,20%,130,935,0.13903743315508021,Construction
Pharmaceutical Sales,20%,206,1185,0.17383966244725738,Sales & Marketing
Pharmacist,20%,133,1367,0.09729334308705194,Hospitality
Psychiatric Aide,20%,121,1365,0.08864468864468865,Communication & PR
Psychiatric Technician,20%,124,1368,0.09064327485380116,Data & IT
Registered Behavior Technician,20%,126,1099,0.11464968152866242,Administrative & Clerical
Registered Respiratory Therapist,20%,125,1063,0.11759172154280338,Leadership & Strategy
Rehab Technician,20%,116,962,0.12058212058212059,Medical & Healthcare
Respiratory Care Practitioner,20%,98,774,0.12661498708010335,Supply Chain & Logistics
Respiratory Therapist,20%,100,623,0.16051364365971107,Law Enforcement
Speech Pathologist Assistant,20%,106,709,0.14950634696755993,Construction
Technologist,20%,141,1182,0.11928934010152284,Sales & Marketing
Travel Cna,20%,141,1241,0.11361804995970991,Hospitality
Veterinary Technician,20%,141,1168,0.12071917808219178,Communication & PR
Control Room Operator,20%,5,40,0.125,Data & IT
Electric Lineman,20%,69,671,0.10283159463487332,Administrative & Clerical
Environmental Services Manager,20%,177,1213,0.14591920857378401,Leadership & Strategy
Facility Maintenance Manager,20%,151,1079,0.13994439295644115,Medical & Healthcare
Floor Technician,20%,54,517,0.10444874274661509,Supply Chain & Logistics
Groundskeeper,20%,40,281,0.1423487544483986,Law Enforcement
Gutter,20%,34,427,0.07962529274004684,Construction
Health And Safety Manager,20%,203,1303,0.1557943207981581,Sales & Marketing
House Painter,20%,138,1136,0.12147887323943662,Hospitality
Irrigation Technician,20%,137,922,0.14859002169197397,Communication & PR
Janitorial Supervisor,20%,136,966,0.14078674948240166,Data & IT
Journeyman Plumber,20%,114,774,0.14728682170542637,Administrative & Clerical
Landscape Technician,20%,139,844,0.1646919431279621,Leadership & Strategy
Lighting Technician,20%,209,1554,0.13449163449163448,Medical & Healthcare
Maintenance Coordinator,20%,158,1227,0.12876935615321924,Supply Chain & Logistics
Maintenance Electrician,20%,141,1144,0.12325174825174826,Law Enforcement
Maintenance Mechanic,20%,143,1185,0.12067510548523207,Construction
Maintenance Supervisor,20%,147,1216,0.12088815789473684,Sales & Marketing
Marine Technician,20%,166,1325,0.12528301886792453,Hospitality
Mechanical Assembler,20%,128,1127,0.11357586512866016,Communication & PR
Mechanical Technician,20%,157,1216,0.12911184210526316,Data & IT
Office Technician,20%,201,1413,0.14225053078556263,Administrative & Clerical
Operations Technician,20%,210,1433,0.1465457083042568,Leadership & Strategy
Optical Technician,20%,194,1415,0.1371024734982332,Medical & Healthcare
Parts Manager,20%,167,999,0.16716716716716717,Supply Chain & Logistics
Pc Technician,20%,203,1429,0.14205738278516444,Law Enforcement
Pipeline Operator,20%,127,1379,0.09209572153734591,Construction
Plant Technician,20%,133,1095,0.12146118721461187,Sales & Marketing
Pool Manager,20%,129,1087,0.11867525298988041,Hospitality
Pool Technician,20%,110,898,0.12249443207126949,Communication & PR
Property Caretaker,20%,126,1041,0.12103746397694524,Data & IT
Pumper,20%,104,1136,0.09154929577464789,Administrative & Clerical
Refrigeration Mechanic,20%,111,1207,0.09196354598177299,Leadership & Strategy
Repair Technician,20%,125,1244,0.10048231511254019,Medical & Healthcare
Residential Electrician,20%,77,927,0.08306364617044229,Supply Chain & Logistics
Roughneck,20%,57,742,0.07681940700808626,Law Enforcement
Sheet Metal Mechanic,20%,79,933,0.08467309753483387,Construction
Ship Fitter,20%,69,876,0.07876712328767123,Sales & Marketing
Slot Technician,20%,70,900,0.07777777777777778,Hospitality
Stage Technician,20%,103,1064,0.09680451127819549,Communication & PR
Structural Welder,20%,67,879,0.07622298065984073,Data & IT
Substation Electrician,20%,69,819,0.08424908424908426,Administrative & Clerical
Tig Welder,20%,126,1171,0.107600341588386,Leadership & Strategy
Tower Technician,20%,132,1140,0.11578947368421053,Medical & Healthcare
Tradesman,20%,139,1158,0.12003454231433507,Supply Chain & Logistics
Wastewater Operator,20%,159,1251,0.12709832134292565,Law Enforcement
Water Operator,20%,155,1223,0.1267375306623058,Construction
Welder Fabricator,20%,129,1159,0.11130284728213978,Sales & Marketing
Window Cleaner,20%,109,1064,0.10244360902255639,Hospitality
Camera Operator,20%,6,48,0.125,Communication & PR
Cmm Operator,20%,5,40,0.125,Data & IT
Die Maker,20%,4,26,0.15384615384615385,Administrative & Clerical
Instrument Fitter,20%,112,716,0.1564245810055866,Leadership & Strategy
Machinist,20%,116,776,0.14948453608247422,Medical & Healthcare
Material Controller,20%,151,1212,0.12458745874587458,Supply Chain & Logistics
Packaging Technician,20%,151,1227,0.12306438467807661,Law Enforcement
Parts Driver,20%,99,635,0.15590551181102363,Construction
Plant Controller,20%,185,1697,0.10901591043017089,Sales & Marketing
Procurement Coordinator,20%,236,1941,0.12158681092220505,Hospitality
Product Designer,20%,265,2171,0.12206356517733763,Communication & PR
Production Designer,20%,239,2062,0.11590688651794374,Data & IT
Production Planner,20%,197,1680,0.11726190476190476,Administrative & Clerical
Refinery,20%,110,817,0.1346389228886169,Leadership & Strategy
Refinery Operator,20%,118,957,0.12330198537095088,Medical & Healthcare
Stockroom Clerk,20%,183,1350,0.13555555555555557,Supply Chain & Logistics
Retirement Specialist,20%,212,1613,0.1314321140731556,Law Enforcement
Development Associate,20%,9,57,0.15789473684210525,Construction
Leasing Manager,20%,222,1703,0.13035819142689373,Sales & Marketing
New Home Sales Consultant,20%,135,799,0.16896120150187735,Hospitality
Property Administrator,20%,235,2169,0.10834485938220378,Communication & PR
Property Management,20%,257,2256,0.11391843971631206,Data & IT
Real Estate Consultant,20%,262,2321,0.1128823782852219,Administrative & Clerical
Real Estate Salesperson,20%,251,2187,0.11476909007773205,Leadership & Strategy
Realtor,20%,250,2186,0.11436413540713632,Medical & Healthcare
Residential Director,20%,212,1617,0.1311069882498454,Supply Chain & Logistics
Salon Receptionist,20%,187,1029,0.18172983479105928,Law Enforcement
Clinical Consultant,20%,8,54,0.14814814814814814,Construction
Clinical Research Associate,20%,8,54,0.14814814814814814,Sales & Marketing
Conservationist,20%,6,46,0.13043478260869565,Hospitality
Ecologist,20%,145,1121,0.12934879571810884,Communication & PR
Ehs Manager,20%,212,1361,0.15576781778104334,Data & IT
Ehs Specialist,20%,205,1341,0.1528709917971663,Administrative & Clerical
Environmental Coordinator,20%,213,1388,0.15345821325648415,Leadership & Strategy
Environmental Manager,20%,205,1373,0.14930808448652585,Medical & Healthcare
Fisheries Biologist,20%,140,1110,0.12612612612612611,Supply Chain & Logistics
Fisheries Technician,20%,136,1095,0.12420091324200913,Law Enforcement
Geneticist,20%,144,1161,0.12403100775193798,Construction
Geophysicist,20%,150,1174,0.12776831345826234,Sales & Marketing
Horticulturist,20%,168,1207,0.1391880695940348,Hospitality
Hydrogeologist,20%,146,1120,0.13035714285714287,Communication & PR
Hydrologist,20%,149,1126,0.13232682060390763,Data & IT
Laboratory Director,20%,209,1442,0.1449375866851595,Administrative & Clerical
Laboratory Supervisor,20%,212,1450,0.14620689655172414,Leadership & Strategy
Library Assistant,20%,199,1457,0.13658201784488674,Medical & Healthcare
Library Associate,20%,202,1461,0.13826146475017112,Supply Chain & Logistics
Materials Scientist,20%,102,717,0.14225941422594143,Law Enforcement
Microbiologist,20%,119,767,0.15514993481095177,Construction
Microbiology Technologist,20%,133,853,0.1559202813599062,Sales & Marketing
Molecular Biologist,20%,115,761,0.15111695137976347,Hospitality
Molecular Technologist,20%,120,775,0.15483870967741936,Communication & PR
Organic Chemist,20%,100,713,0.1402524544179523,Data & IT
Production Chemist,20%,130,1306,0.0995405819295559,Administrative & Clerical
Research Chemist,20%,211,1879,0.11229377328366152,Leadership & Strategy
Research Consultant,20%,298,2227,0.13381230354737314,Medical & Healthcare
Resource Specialist,20%,285,1972,0.14452332657200812,Supply Chain & Logistics
Senior Scientist,20%,200,1750,0.11428571428571428,Law Enforcement
Soil Scientist,20%,168,1510,0.11125827814569536,Construction
Toxicologist,20%,121,1087,0.11131554737810488,Sales & Marketing
Client Relationship Manager,20%,9,57,0.15789473684210525,Hospitality
Financial Planner,20%,223,1460,0.15273972602739727,Communication & PR
Inventory Accountant,20%,227,1633,0.13900796080832822,Data & IT
Inventory Auditor,20%,231,1672,0.13815789473684212,Administrative & Clerical
Investment Advisor,20%,257,1852,0.13876889848812096,Leadership & Strategy
Investment Specialist,20%,255,1845,0.13821138211382114,Medical & Healthcare
Loan Administrator,20%,246,1744,0.14105504587155962,Supply Chain & Logistics
Loan Coordinator,20%,248,1746,0.1420389461626575,Law Enforcement
Loan Servicing Specialist,20%,244,1647,0.14814814814814814,Construction
Mortgage Assistant,20%,189,1159,0.1630716134598792,Sales & Marketing
Mortgage Banker,20%,178,1149,0.15491731940818101,Hospitality
Mortgage Originator,20%,183,1144,0.15996503496503497,Communication & PR
Payroll Accountant,20%,223,1255,0.17768924302788844,Data & IT
Payroll Analyst,20%,223,1255,0.17768924302788844,Administrative & Clerical
Payroll Coordinator,20%,223,1253,0.1779728651237031,Leadership & Strategy
Payroll Specialist,20%,224,1256,0.17834394904458598,Medical & Healthcare
Portfolio Manager,20%,218,1570,0.13885350318471337,Supply Chain & Logistics
Production Accountant,20%,182,1375,0.13236363636363635,Law Enforcement
Property Accountant,20%,177,1370,0.1291970802919708,Construction
Real Estate Accountant,20%,175,1369,0.12783053323593865,Sales & Marketing
Reconciliation Specialist,20%,200,1425,0.14035087719298245,Hospitality
Revenue Accountant,20%,254,1894,0.1341077085533263,Communication & PR
Revenue Analyst,20%,254,1732,0.14665127020785218,Data & IT
Senior Financial Analyst,20%,261,1986,0.13141993957703926,Administrative & Clerical
Staff Accountant,20%,248,1893,0.13100898045430534,Leadership & Strategy
Universal Banker,20%,189,1446,0.13070539419087138,Medical & Healthcare
Chief Medical Officer,20%,5,20,0.25,Supply Chain & Logistics
Clinical Social Worker,20%,7,23,0.30434782608695654,Law Enforcement
Metallurgist,20%,76,658,0.11550151975683891,Construction
Mining Engineer,20%,73,965,0.07564766839378238,Sales & Marketing
Naval Architect,20%,87,982,0.08859470468431772,Hospitality
Pipeline Engineer,20%,134,1313,0.10205635948210205,Communication & PR
Piping Designer,20%,133,1297,0.10254433307632999,Data & IT
Piping Engineer,20%,132,1293,0.10208816705336426,Administrative & Clerical
Power Engineer,20%,131,1328,0.09864457831325302,Leadership & Strategy
Process Safety Engineer,20%,141,1398,0.10085836909871244,Medical & Healthcare
Recording Engineer,20%,214,1603,0.13349968808484092,Supply Chain & Logistics
Reservoir Engineer,20%,141,1408,0.10014204545454546,Law Enforcement
Safety Engineer,20%,124,850,0.14588235294117646,Construction
Traffic Engineer,20%,156,1207,0.12924606462303231,Sales & Marketing
Transmission Engineer,20%,143,1191,0.1200671704450042,Hospitality
Utility Engineer,20%,135,1143,0.11811023622047244,Communication & PR
Water Engineer,20%,143,1165,0.12274678111587983,Data & IT
Welding Engineer,20%,139,1195,0.11631799163179916,Administrative & Clerical
Department Manager,20%,6,46,0.13043478260869565,Leadership & Strategy
Facilities Manager,20%,206,1345,0.15315985130111523,Medical & Healthcare
Facility Technician,20%,118,848,0.1391509433962264,Supply Chain & Logistics
Knowledge Management Specialist,20%,274,1806,0.15171650055370986,Law Enforcement
Meeting Planner,20%,163,1506,0.10823373173970784,Construction
Office Assistant,20%,215,1280,0.16796875,Sales & Marketing
Planner,20%,211,1889,0.11169931180518793,Hospitality
Program Assistant,20%,221,1894,0.11668426610348469,Communication & PR
Scheduling Manager,20%,255,1841,0.1385116784356328,Data & IT
Unit Assistant,20%,179,1451,0.1233631977946244,Administrative & Clerical
Car Porter,20%,4,14,0.2857142857142857,Leadership & Strategy
Charter Pilot,20%,2,0,inf,Medical & Healthcare
Commercial Pilot,20%,2,0,inf,Supply Chain & Logistics
Conductor,20%,2,0,inf,Law Enforcement
Corporate Pilot,20%,2,0,inf,Construction
Driver Helper,20%,48,465,0.1032258064516129,Sales & Marketing
Locomotive Engineer,20%,22,118,0.1864406779661017,Hospitality
Messenger,20%,67,436,0.1536697247706422,Communication & PR
Test Driver,20%,117,1055,0.11090047393364928,Data & IT
Test Pilot,20%,119,1072,0.11100746268656717,Administrative & Clerical
Train Conductor,20%,121,1104,0.10960144927536232,Leadership & Strategy
Train Engineer,20%,127,1109,0.1145175834084761,Medical & Healthcare
Transportation Engineer,20%,182,1382,0.1316931982633864,Supply Chain & Logistics
Cocktail Server,20%,4,14,0.2857142857142857,Law Enforcement
Coffee Roaster,20%,4,14,0.2857142857142857,Construction
Executive Steward,20%,66,683,0.09663250366032211,Sales & Marketing
Food Service Specialist,20%,166,1198,0.13856427378964942,Hospitality
Grill Cook,20%,38,303,0.1254125412541254,Communication & PR
Guide,20%,72,479,0.15031315240083507,Data & IT
Head Chef,20%,43,349,0.12320916905444126,Administrative & Clerical
House Manager,20%,116,989,0.1172901921132457,Leadership & Strategy
Houseman,20%,31,187,0.1657754010695187,Medical & Healthcare
Kitchen Hand,20%,26,156,0.16666666666666666,Supply Chain & Logistics
Kitchen Helper,20%,26,156,0.16666666666666666,Law Enforcement
Kitchen Worker,20%,29,166,0.1746987951807229,Construction
After School Teacher,20%,1,1,1.0,Sales & Marketing
Chemistry Teacher,20%,8,31,0.25806451612903225,Hospitality
Chinese Teacher,20%,8,31,0.25806451612903225,Communication & PR
Classroom Teacher,20%,8,31,0.25806451612903225,Data & IT
College Advisor,20%,10,60,0.16666666666666666,Administrative & Clerical
College Counselor,20%,10,60,0.16666666666666666,Leadership & Strategy
Cosmetology Instructor,20%,7,23,0.30434782608695654,Medical & Healthcare
Cosmetology Teacher,20%,7,23,0.30434782608695654,Supply Chain & Logistics
Director Of Admissions,20%,10,60,0.16666666666666666,Law Enforcement
Director Of Training,20%,9,57,0.15789473684210525,Construction
Drama Teacher,20%,8,31,0.25806451612903225,Sales & Marketing
Education Teacher,20%,153,1101,0.13896457765667575,Hospitality
Educator,20%,166,1160,0.14310344827586208,Communication & PR
Elementary Music Teacher,20%,163,1163,0.14015477214101463,Data & IT
Elementary School Teacher,20%,159,1102,0.1442831215970962,Administrative & Clerical
English Instructor,20%,154,1083,0.14219759926131118,Leadership & Strategy
English Teacher,20%,154,1083,0.14219759926131118,Medical & Healthcare
Esl Instructor,20%,154,1082,0.1423290203327172,Supply Chain & Logistics
Esl Teacher,20%,154,1082,0.1423290203327172,Law Enforcement
Family Consumer Science Teacher,20%,147,1028,0.14299610894941633,Construction
French Teacher,20%,152,1049,0.14489990467111535,Sales & Marketing
Ged Instructor,20%,152,1049,0.14489990467111535,Hospitality
German Teacher,20%,152,1049,0.14489990467111535,Communication & PR
Health Teacher,20%,166,1262,0.13153724247226625,Data & IT
Hebrew Teacher,20%,169,1264,0.1337025316455696,Administrative & Clerical
Instructional Coach,20%,240,1620,0.14814814814814814,Leadership & Strategy
Language Specialist,20%,212,1502,0.1411451398135819,Medical & Healthcare
